run_id,run_timestamp,symbol,avg_weight,total_contribution,volatility,beta,realized_return,observations
20260328-185359,2026-03-29 03:46:06,UGPA3.SA,0.1613,0.2926321757294707,0.5478058767681155,,0.8663512806544043,2506
20260328-185359,2026-03-29 03:46:06,DASA3.SA,0.0256,0.012336886007488043,0.6012238293594064,,-0.7376770947019989,2506
20260328-185359,2026-03-29 03:46:06,AURA33.SA,0.2219,0.546063174437164,0.42126511619683127,,6.075019456294148,1426
20260328-185359,2026-03-29 03:46:06,VALE3.SA,0.1331,0.3199793975691332,0.38622476877502365,,4.25615445133366,2506
20260328-185359,2026-03-29 03:46:06,ENEV3.SA,0.2412,0.6326716948132987,0.3776377408083325,,5.831428527832057,2506
20260328-185359,2026-03-29 03:46:06,AXIA6.SA,0.0323,0.09335210033900926,0.434622749612825,,6.100419515951963,2506
20260328-185359,2026-03-29 03:46:06,PNVL3.SA,0.1847,0.19408455941936698,0.3591788222842874,,0.5074474847801271,2506
20260329-101714,2026-03-29 11:24:25,PNVL3.SA,0.1965,0.20648411437956476,0.3591788222842874,,0.5074474847801271,2506
20260329-101714,2026-03-29 11:24:25,RADL3.SA,0.0301,0.043932901356031215,0.3174150964964806,,1.6099937473780552,2506
20260329-101714,2026-03-29 11:24:25,VALE3.SA,0.1238,0.297621708633048,0.38622476877502365,,4.25615445133366,2506
20260329-101714,2026-03-29 11:24:25,AURA33.SA,0.2056,0.5059512783428615,0.42126511619683127,,6.075019456294148,1426
20260329-101714,2026-03-29 11:24:25,UGPA3.SA,0.1833,0.3325448097409297,0.5478058767681155,,0.8663512806544043,2506
20260329-101714,2026-03-29 11:24:25,DASA3.SA,0.028,0.013493469070690031,0.6012238293594064,,-0.7376770947019989,2506
20260329-101714,2026-03-29 11:24:25,ENEV3.SA,0.2327,0.6103760505101767,0.3776377408083325,,5.831428527832057,2506
20260330-200710,2026-03-30 20:37:02,PNVL3.SA,0.1884,0.36759835677394603,0.3659084374006827,,2.5685729281096346,2553
20260330-200710,2026-03-30 20:37:02,VALE3.SA,0.1344,0.5539064941932529,0.5067647874178591,,19.367511164646807,2553
20260330-200710,2026-03-30 20:37:02,NEOE3.SA,0.1893,0.18742790352833977,0.2877019897103942,,1.057706067655145,1623
20260330-200710,2026-03-30 20:37:02,UGPA3.SA,0.1195,0.27217367858713587,0.5506000220570506,,1.864913256275972,2553
20260330-200710,2026-03-30 20:37:02,ENEV3.SA,0.175,0.5935686113288869,0.43550805051567176,,10.489144222394575,2553
20260330-200710,2026-03-30 20:37:02,DASA3.SA,0.0242,0.0143187181858946,0.6000540984906251,,-0.7129861931509467,2553
20260330-200710,2026-03-30 20:37:02,AURA33.SA,0.1691,0.432814268100119,0.4163458996890593,,7.0287673262756485,1380
20260331-210616,2026-03-31 21:30:56,ENEV3.SA,0.1781,0.6061689149668212,0.43543496109960717,,10.623689111218066,2554
20260331-210616,2026-03-31 21:30:56,PNVL3.SA,0.1799,0.34836606263858905,0.36586908339896523,,2.5160571308430995,2554
20260331-210616,2026-03-31 21:30:56,UGPA3.SA,0.1368,0.3116728402538993,0.5504921806672896,,1.866936546431205,2554
20260331-210616,2026-03-31 21:30:56,AURA33.SA,0.1677,0.43196059203008985,0.4162406178771749,,7.159451302091817,1381
20260331-210616,2026-03-31 21:30:56,NEOE3.SA,0.2192,0.21736132936237643,0.2876135576404868,,1.0607956693318656,1624
20260331-210616,2026-03-31 21:30:56,VALE3.SA,0.1183,0.4883018462535681,0.506667693303121,,19.49641946315723,2554
20260402-134924,2026-04-02 14:09:44,ORVR3.SA,0.0001,0.00014666257213457896,0.32516996663762693,,2.3160512211538724,1278
20260402-134924,2026-04-02 14:09:44,ENEV3.SA,0.2457,0.6554130429100444,0.37749063016461565,,6.1399999346052185,2509
20260402-134924,2026-04-02 14:09:44,JBSS32.SA,0.0323,0.007702363316058048,0.31178649886562554,,0.22083876540202763,203
20260402-134924,2026-04-02 14:09:44,AXIA6.SA,0.1872,0.5530032100537556,0.4345693887133774,,6.561952533009742,2509
20260402-134924,2026-04-02 14:09:44,DASA3.SA,0.0253,0.01500323986224733,0.6023693442779847,,-0.709368871719706,2509
20260402-134924,2026-04-02 14:09:44,VBBR3.SA,0.0756,0.07554312042775266,0.3915510203923827,,0.479569621254212,2000
20260402-134924,2026-04-02 14:09:44,PNVL3.SA,0.1625,0.17308471826296407,0.35907776207542214,,0.5285749689960935,2509
20260402-134924,2026-04-02 14:09:44,VALE3.SA,0.2713,0.665816463263241,0.3861746548823599,,4.522288853932831,2509
20260403-090929,2026-04-03 09:29:41,ENEV3.SA,0.1962,0.5225064919272058,0.37741936773868845,,6.108571188790487,2510
20260403-090929,2026-04-03 09:29:41,AXIA6.SA,0.1677,0.49516726618980245,0.434483533677899,,6.551516280213725,2510
20260403-090929,2026-04-03 09:29:41,VBBR3.SA,0.1266,0.1274362253540887,0.39146068585851107,,0.49045574835285577,2001
20260403-090929,2026-04-03 09:29:41,DASA3.SA,0.0273,0.017607449342911446,0.6024721434801472,,-0.6942711422970494,2510
20260403-090929,2026-04-03 09:29:41,PNVL3.SA,0.1307,0.13993596809696635,0.35900983983283974,,0.5370259626824803,2510
20260403-090929,2026-04-03 09:29:41,VALE3.SA,0.3335,0.8206758219006555,0.3861018374141043,,4.558882537334652,2510
20260403-090929,2026-04-03 09:29:41,JBSS32.SA,0.018,0.00387881224473126,0.312173517358379,,0.19279159234756826,204
20260404-072616,2026-04-04 07:46:30,VBBR3.SA,0.1354,0.1362943516030301,0.39146068585851107,,0.49045574835285577,2001
20260404-072616,2026-04-04 07:46:30,VALE3.SA,0.2926,0.7200292218534684,0.3861018374141043,,4.558882537334652,2510
20260404-072616,2026-04-04 07:46:30,AXIA6.SA,0.1885,0.5565833612210959,0.434483533677899,,6.551516280213725,2510
20260404-072616,2026-04-04 07:46:30,PNVL3.SA,0.1267,0.13565330648726578,0.35900983983283974,,0.5370259626824803,2510
20260404-072616,2026-04-04 07:46:30,ENEV3.SA,0.2263,0.6026667641341827,0.37741936773868845,,6.108571188790487,2510
20260404-072616,2026-04-04 07:46:30,DASA3.SA,0.0306,0.019735822340406245,0.6024721434801472,,-0.6942711422970494,2510
20260406-211427,2026-04-06 21:41:20,DASA3.SA,0.0376,0.028378016237061203,0.6012826623178071,,-0.6654946955041787,2557
20260406-211427,2026-04-06 21:41:20,VBBR3.SA,0.1135,0.13876539569901297,0.3897670579832496,,0.8984493163492779,1932
20260406-211427,2026-04-06 21:41:20,AXIA6.SA,0.1577,0.5015917071421226,0.43286016454531856,,8.741081874132329,2456
20260406-211427,2026-04-06 21:41:20,ENEV3.SA,0.2098,0.7200200944053732,0.43523534630128924,,10.955244685710126,2557
20260406-211427,2026-04-06 21:41:20,VALE3.SA,0.3316,1.385448865933275,0.5064999987301209,,20.540577467885466,2557
20260406-211427,2026-04-06 21:41:20,PNVL3.SA,0.1284,0.25307828314863623,0.3657335522286312,,2.638593911634923,2557
20260406-211427,2026-04-06 21:41:20,JBSS32.SA,0.0214,0.004679216928177409,0.3128908770643626,,0.19728262970960775,200
20260406-222822,2026-04-06 22:46:45,AXIA6.SA,0.0942,0.2996191427570574,0.43286016454531856,,8.741081874132329,2456
20260406-222822,2026-04-06 22:46:45,PNVL3.SA,0.1341,0.26431306674635613,0.3657335522286312,,2.638593911634923,2557
20260406-222822,2026-04-06 22:46:45,ENEV3.SA,0.1274,0.4372285987952553,0.43523534630128924,,10.955244685710126,2557
20260406-222822,2026-04-06 22:46:45,DASA3.SA,0.0436,0.03290642308340075,0.6012826623178071,,-0.6654946955041787,2557
20260406-222822,2026-04-06 22:46:45,PETR3.SA,0.3205,1.5883015308948392,0.8149867223425333,,17.38939777371184,2557
20260406-222822,2026-04-06 22:46:45,AURA33.SA,0.1729,0.4842131286608747,0.42062705839413095,,9.107105734689782,1384
20260406-222822,2026-04-06 22:46:45,VALE3.SA,0.1073,0.44830718731797475,0.5064999987301209,,20.540577467885466,2557
20260407-211712,2026-04-07 21:33:48,VALE3.SA,0.1037,0.4326951781779205,0.5064059055600955,,20.421980102309487,2558
20260407-211712,2026-04-07 21:33:48,ENEV3.SA,0.1806,0.6244532428517396,0.4352175154976683,,11.262775729233523,2558
20260407-211712,2026-04-07 21:33:48,PETR3.SA,0.3395,1.6863599101539022,0.8148328558151281,,17.600650959932338,2558
20260407-211712,2026-04-07 21:33:48,PNVL3.SA,0.1559,0.305566823867219,0.3656806816724045,,2.598581921049044,2558
20260407-211712,2026-04-07 21:33:48,AXIA6.SA,0.0462,0.1466773700563985,0.4327780574110953,,8.684238223642144,2457
20260407-211712,2026-04-07 21:33:48,AURA33.SA,0.1741,0.4879622848731147,0.4204750796548642,,9.129660072591474,1385
20260408-220322,2026-04-08 22:27:00,PETR3.SA,0.2561,1.2713813140715238,0.8146749235728806,,17.548704299756633,2559
20260408-220322,2026-04-08 22:27:00,AURA33.SA,0.144,0.4025238544923341,0.420342731299614,,9.054035930280492,1386
20260408-220322,2026-04-08 22:27:00,VALE3.SA,0.099,0.4137990089469215,0.5063099499690692,,20.57667163410962,2559
20260408-220322,2026-04-08 22:27:00,ENEV3.SA,0.1474,0.5080417136889697,0.43514962190725104,,11.128230840410032,2559
20260408-220322,2026-04-08 22:27:00,PNVL3.SA,0.1246,0.24144743830644239,0.3656804567482448,,2.518557701387011,2559
20260408-220322,2026-04-08 22:27:00,OPCT3.SA,0.0918,0.04398159053353598,0.4980280740913828,,-0.12834351940050637,1242
20260408-220322,2026-04-08 22:27:00,NEOE3.SA,0.1372,0.13633723881163626,0.28717298565678606,,1.0651211588235747,1629
20260409-200414,2026-04-09 20:22:31,PRIO3.SA,0.173,1.2688966909590098,0.6416899413744006,,210.89769536207808,2560
20260409-200414,2026-04-09 20:22:31,ENEV3.SA,0.1416,0.4913609121640979,0.4351194845784017,,11.411735519940624,2560
20260409-200414,2026-04-09 20:22:31,PETR3.SA,0.0031,0.015252448110093148,0.8146446384507844,,16.727933593841694,2560
20260409-200414,2026-04-09 20:22:31,PETR4.SA,0.2156,0.9678684456429518,0.6980424954638251,,14.54079248832787,2560
20260409-200414,2026-04-09 20:22:31,VALE3.SA,0.065,0.273161897284123,0.5062541732939614,,21.066521594861594,2560
20260409-200414,2026-04-09 20:22:31,PNVL3.SA,0.1065,0.20932564124777925,0.3657068448253701,,2.6160871073077976,2560
20260409-200414,2026-04-09 20:22:31,AXIA6.SA,0.1016,0.327688488683056,0.43283645444170443,,9.174882193368664,2459
20260409-200414,2026-04-09 20:22:31,AURA33.SA,0.1701,0.4847966273592815,0.4207921450769112,,9.604633253110014,1387
20260409-200414,2026-04-09 20:22:31,DASA3.SA,0.0236,0.017331000681687005,0.6011657303228902,,-0.672721655045891,2560
STAB_20260409_2059_9,2026-04-10 23:04:59,DASA3.SA,0.0183,0.011487752654889494,0.6022325479902477,,-0.6999327823940364,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,AXIA6.SA,0.1087,0.33007409587797265,0.43454026730730017,,7.1974306168567495,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,ENEV3.SA,0.1292,0.3498530283941259,0.377289122191112,,6.428571428571459,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,PETR4.SA,0.2089,0.5881154652125354,0.43287813940183395,,5.412316314757243,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,PRIO3.SA,0.1416,1.084929327859254,0.6321391370419344,,323.00987460083127,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,VALE3.SA,0.1123,0.27790881484894303,0.3858834446228184,,4.634730801466529,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,PNVL3.SA,0.1185,0.1318748020904587,0.35923029214805574,,0.6004084153303797,2514
STAB_20260409_2059_9,2026-04-10 23:04:59,AURA33.SA,0.1625,0.45334458250638365,0.42563741818597634,,8.70381923151542,1434
