Stock,MOVI3.SA,VULC3.SA,LAVV3.SA,ANIM3.SA,PLPL3.SA,PNVL3.SA,ELET6.SA,NEOE3.SA,ENGI11.SA,JHSF3.SA,SAPR11.SA,VBBR3.SA,RANI3.SA,BPAN4.SA,CYRE3.SA,SIMH3.SA,POSI3.SA,LREN3.SA,CSMG3.SA,YDUQ3.SA
MOVI3.SA,1.0,0.4478243774233557,0.4835257592857555,0.48137981524123363,0.40527196107746255,0.35440500750439813,0.38713345637060936,0.46233422694724846,0.46297429592679085,0.4978333335539439,0.4027419252176791,0.49602292591220104,0.19936261666633862,0.41891837801456017,0.5857186985042772,0.7379710027000075,0.4197393866254819,0.5452813773966736,0.3589613213340922,0.4475288436261772
VULC3.SA,0.4478243774233557,1.0,0.4225088784653394,0.20844301577030577,0.36531029607580845,0.15797251415796265,0.17920722386149202,0.4200654270300167,0.19772345427606533,0.23464219198835912,0.42177911118184375,0.461273711872825,0.07577755667621162,0.20697280392617823,0.27976358325959966,0.46362856549554077,0.21815787456522462,0.2599763925084898,0.1651572594795695,0.19721417895025925
LAVV3.SA,0.4835257592857555,0.4225088784653394,1.0,0.4471778402480511,0.45500368718138273,0.439077394239349,0.4382521837301728,0.39051382275669816,0.43449963819537657,0.5285658082721468,0.3263574282479153,0.439178670835093,0.2929321539124527,0.434860200159656,0.6300668682873113,0.5055403248768728,0.3518382332774102,0.5056142005236988,0.35453265495732444,0.41110311411845896
ANIM3.SA,0.48137981524123363,0.20844301577030577,0.4471778402480511,1.0,0.40016999384781016,0.23895367182713675,0.2729265264933108,0.3565890562257118,0.26410357656229044,0.3411712812273,0.33395631370465234,0.4314913674121731,0.13945714932288536,0.2531256366453682,0.42477639888128754,0.5626043579076349,0.3303254526000452,0.44339124757668896,0.21294044113910673,0.5352542464112575
PLPL3.SA,0.40527196107746255,0.36531029607580845,0.45500368718138273,0.40016999384781016,1.0,0.36352713680191756,0.31967913741082715,0.3337096834383091,0.338290593451449,0.4130461773258457,0.2227758764583383,0.3538631254187085,0.24317099390127095,0.32681632019535717,0.4924571729249678,0.4202773287246821,0.35048383673314765,0.42344978953979034,0.2685534881306003,0.38434640379492446
PNVL3.SA,0.35440500750439813,0.15797251415796265,0.439077394239349,0.23895367182713675,0.36352713680191756,1.0,0.17595920428299094,0.33593951931637855,0.20056677156104114,0.2269241673345687,0.23923595262099934,0.3324619323482603,0.11003434541367504,0.19989304346882572,0.28799270313884695,0.48139267791527657,0.22473579527044674,0.27646798398404493,0.1348721279023362,0.20947846492914146
ELET6.SA,0.38713345637060936,0.17920722386149202,0.4382521837301728,0.2729265264933108,0.31967913741082715,0.17595920428299094,1.0,0.5147018137488852,0.33398255391201226,0.3203725008356581,0.4498043904935067,0.4939939063085217,0.13938393027835735,0.3323460114962091,0.46162110016092606,0.44817545901841505,0.27108308070091586,0.4104141602014786,0.42144086227809696,0.31030894719591795
NEOE3.SA,0.46233422694724846,0.4200654270300167,0.39051382275669816,0.3565890562257118,0.3337096834383091,0.33593951931637855,0.5147018137488852,1.0,0.6032309338020028,0.46081244850272485,0.4756435545948422,0.47989368031628465,0.213838705695672,0.4028532798904662,0.5052224599745935,0.3765152037977386,0.3566395070872965,0.4460773499932219,0.4924863711398417,0.35112099423854926
ENGI11.SA,0.46297429592679085,0.19772345427606533,0.43449963819537657,0.26410357656229044,0.338290593451449,0.20056677156104114,0.33398255391201226,0.6032309338020028,1.0,0.3755516129402249,0.480534572820751,0.4770443494613577,0.1934579022926693,0.2623545462304081,0.49343200693202777,0.44641172405143764,0.26548427980360817,0.4231262186206832,0.25403747488409273,0.3368855284218106
JHSF3.SA,0.4978333335539439,0.23464219198835912,0.5285658082721468,0.3411712812273,0.4130461773258457,0.2269241673345687,0.3203725008356581,0.46081244850272485,0.3755516129402249,1.0,0.4178267197756034,0.46029660021518726,0.20702506034874923,0.31777882776085614,0.5547290822577777,0.5495144094324502,0.3473418304963389,0.45175929322516883,0.26132242541972,0.38316260130954405
SAPR11.SA,0.4027419252176791,0.42177911118184375,0.3263574282479153,0.33395631370465234,0.2227758764583383,0.23923595262099934,0.4498043904935067,0.4756435545948422,0.480534572820751,0.4178267197756034,1.0,0.43971368974090086,0.17628843854774873,0.31789322230421846,0.4954505901033421,0.3026444292328039,0.34018089038486,0.4436888038735232,0.5991345008131583,0.36886474059244195
VBBR3.SA,0.49602292591220104,0.461273711872825,0.439178670835093,0.4314913674121731,0.3538631254187085,0.3324619323482603,0.4939939063085217,0.47989368031628465,0.4770443494613577,0.46029660021518726,0.43971368974090086,1.0,0.18902574514368867,0.39014109249920853,0.6023924505881385,0.4979174817859526,0.38051821327434193,0.5609404274970611,0.44896610294800665,0.4540531284173807
RANI3.SA,0.19936261666633862,0.07577755667621162,0.2929321539124527,0.13945714932288536,0.24317099390127095,0.11003434541367504,0.13938393027835735,0.213838705695672,0.1934579022926693,0.20702506034874923,0.17628843854774873,0.18902574514368867,1.0,0.14506860740990618,0.22294580393399158,0.31123397921856005,0.18153730328404885,0.19023554887582894,0.08660190459149979,0.15775164814565112
BPAN4.SA,0.41891837801456017,0.20697280392617823,0.434860200159656,0.2531256366453682,0.32681632019535717,0.19989304346882572,0.3323460114962091,0.4028532798904662,0.2623545462304081,0.31777882776085614,0.31789322230421846,0.39014109249920853,0.14506860740990618,1.0,0.40431648194321745,0.454975502225667,0.24845878066322458,0.3514484895592715,0.2648769344736578,0.25977449811287423
CYRE3.SA,0.5857186985042772,0.27976358325959966,0.6300668682873113,0.42477639888128754,0.4924571729249678,0.28799270313884695,0.46162110016092606,0.5052224599745935,0.49343200693202777,0.5547290822577777,0.4954505901033421,0.6023924505881385,0.22294580393399158,0.40431648194321745,1.0,0.5787225579907342,0.39758469875664737,0.6097530390634893,0.34709004028611534,0.49418155342445913
SIMH3.SA,0.7379710027000075,0.46362856549554077,0.5055403248768728,0.5626043579076349,0.4202773287246821,0.48139267791527657,0.44817545901841505,0.3765152037977386,0.44641172405143764,0.5495144094324502,0.3026444292328039,0.4979174817859526,0.31123397921856005,0.454975502225667,0.5787225579907342,1.0,0.4392401460616702,0.5456064261264317,0.2802140490749301,0.4812000550238074
POSI3.SA,0.4197393866254819,0.21815787456522462,0.3518382332774102,0.3303254526000452,0.35048383673314765,0.22473579527044674,0.27108308070091586,0.3566395070872965,0.26548427980360817,0.3473418304963389,0.34018089038486,0.38051821327434193,0.18153730328404885,0.24845878066322458,0.39758469875664737,0.4392401460616702,1.0,0.3569347290733727,0.2078642915939518,0.283285933019402
LREN3.SA,0.5452813773966736,0.2599763925084898,0.5056142005236988,0.44339124757668896,0.42344978953979034,0.27646798398404493,0.4104141602014786,0.4460773499932219,0.4231262186206832,0.45175929322516883,0.4436888038735232,0.5609404274970611,0.19023554887582894,0.3514484895592715,0.6097530390634893,0.5456064261264317,0.3569347290733727,1.0,0.30736224686887503,0.48711963272444403
CSMG3.SA,0.3589613213340922,0.1651572594795695,0.35453265495732444,0.21294044113910673,0.2685534881306003,0.1348721279023362,0.42144086227809696,0.4924863711398417,0.25403747488409273,0.26132242541972,0.5991345008131583,0.44896610294800665,0.08660190459149979,0.2648769344736578,0.34709004028611534,0.2802140490749301,0.2078642915939518,0.30736224686887503,1.0,0.22423252143935427
YDUQ3.SA,0.4475288436261772,0.19721417895025925,0.41110311411845896,0.5352542464112575,0.38434640379492446,0.20947846492914146,0.31030894719591795,0.35112099423854926,0.3368855284218106,0.38316260130954405,0.36886474059244195,0.4540531284173807,0.15775164814565112,0.25977449811287423,0.49418155342445913,0.4812000550238074,0.283285933019402,0.48711963272444403,0.22423252143935427,1.0
